source_id,title,source,type,category,url,platform,status
PMC-1,Mice in Bion-M 1 space mission: training and selection,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136787/,Published Literature,Published
PMC-2,"Microgravity induces pelvic bone loss through osteoclastic activity, osteocytic osteolysis, and osteoblastic cell cycle inhibition by CDKN1a/p21",PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3630201/,Published Literature,Published
PMC-3,Stem Cell Health and Tissue Regeneration in Microgravity,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11988870/,Published Literature,Published
PMC-4,Microgravity Reduces the Differentiation and Regenerative Potential of Embryonic Stem Cells,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7998608/,Published Literature,Published
PMC-5,Microgravity validation of a novel system for RNA isolation and multiplex quantitative real time PCR analysis of gene expression on the International Space Station,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5587110/,Published Literature,Published
PMC-6,Spaceflight Modulates the Expression of Key Oxidative Stress and Cell Cycle Related Genes in Heart,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8396460/,Published Literature,Published
PMC-7,Dose- and Ion-Dependent Effects in the Oxidative Stress Response to Space-Like Radiation Exposure in the Skeletal System,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666799/,Published Literature,Published
PMC-8,From the bench to exploration medicine: NASA life sciences translational research for human exploration and habitation missions.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5460236/,Published Literature,Published
PMC-9,High-precision method for cyclic loading of small-animal vertebrae to assess bone quality.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6222041/,Published Literature,Published
PMC-10,Effects of ex vivo ionizing radiation on collagen structure and whole-bone mechanical properties of mouse vertebrae.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6813909/,Published Literature,Published
PMC-11,Absence of gamma-sarcoglycan alters the response of p70S6 kinase to mechanical perturbation in murine skeletal muscle,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4095884/,Published Literature,Published
PMC-12,AtRabD2b and AtRabD2c have overlapping functions in pollen development and pollen tube growth.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3040128/,Published Literature,Published
PMC-13,TNO1 is involved in salt tolerance and vacuolar trafficking in Arabidopsis.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3177255/,Published Literature,Published
PMC-14,Functional redundancy between trans-Golgi network SNARE family members in Arabidopsis thaliana.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11500582/,Published Literature,Published
PMC-15,Root growth movements: Waving and skewing.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,Published Literature,Published
PMC-16,Gravitropism and lateral root emergence are dependent on the trans-Golgi network protein TNO1,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4642138/,Published Literature,Published
PMC-17,"TNO1, a TGN-localized SNARE-interacting protein, modulates root skewing in Arabidopsis thaliana.",PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,Published Literature,Published
